flight_id,airline,origin,destination,scheduled_departure,actual_departure,delay_minutes,delay_cause,load_factor,turnaround_minutes,cancelled,date
DL0353,DL,ORD,IAH,2025-09-08T05:15:00,2025-09-08T05:17:00,2,,0.845,85,False,2025-09-08
AA0166,AA,IAH,BOS,2025-09-08T07:00:00,2025-09-08T07:09:00,9,,0.879,44,False,2025-09-08
JB0415,JB,BOS,SFO,2025-09-08T07:30:00,2025-09-08T07:42:00,12,,0.919,54,False,2025-09-08
AA0026,AA,SEA,BOS,2025-09-08T11:00:00,2025-09-08T11:45:00,45,weather,0.902,81,False,2025-09-08
AA0381,AA,ATL,FLL,2025-09-08T12:00:00,2025-09-08T12:08:00,8,,0.795,37,False,2025-09-08
DL0313,DL,PHX,CLT,2025-09-08T12:30:00,2025-09-08T12:34:00,4,,0.925,36,False,2025-09-08
UA0692,UA,DTW,LAS,2025-09-08T13:00:00,2025-09-08T13:10:00,10,,0.833,66,False,2025-09-08
SW0989,SW,CLT,ORD,2025-09-08T15:00:00,2025-09-08T15:05:00,5,,0.818,67,False,2025-09-08
DL0928,DL,DFW,BOS,2025-09-08T15:45:00,2025-09-08T15:54:00,9,,0.867,65,False,2025-09-08
SW0289,SW,LGA,BOS,2025-09-09T05:15:00,2025-09-09T05:28:00,13,,0.956,37,False,2025-09-09
AA0146,AA,DFW,ATL,2025-09-09T06:30:00,2025-09-09T06:59:00,29,mechanical,0.82,25,False,2025-09-09
AA1046,AA,MIA,EWR,2025-09-09T06:45:00,2025-09-09T06:50:00,5,,0.803,59,False,2025-09-09
JB0590,JB,BOS,MIA,2025-09-09T13:15:00,2025-09-09T13:50:00,35,mechanical,0.758,49,False,2025-09-09
SW0204,SW,LAX,CLT,2025-09-09T14:00:00,2025-09-09T14:04:00,4,,0.885,49,False,2025-09-09
SW0614,SW,DTW,IAH,2025-09-09T16:00:00,2025-09-09T16:13:00,13,,0.872,38,False,2025-09-09
UA0992,UA,BOS,CLT,2025-09-09T16:00:00,2025-09-09T16:03:00,3,,0.948,56,False,2025-09-09
AA0351,AA,SFO,DTW,2025-09-09T16:15:00,2025-09-09T16:21:00,6,,0.973,73,False,2025-09-09
JB1110,JB,LAS,LAX,2025-09-09T16:30:00,2025-09-09T18:42:00,132,mechanical,0.917,94,False,2025-09-09
UA0222,UA,MIA,MCO,2025-09-09T17:30:00,2025-09-09T17:32:00,2,,0.692,44,False,2025-09-09
UA0002,UA,SEA,MIA,2025-09-09T18:30:00,2025-09-09T18:31:00,1,,0.823,53,False,2025-09-09
SW0484,SW,LGA,CLT,2025-09-09T19:15:00,,0,,0.0,0,True,2025-09-09
UA0117,UA,MCO,SFO,2025-09-10T05:15:00,2025-09-10T05:18:00,3,,0.84,71,False,2025-09-10
JB1035,JB,DEN,SFO,2025-09-10T05:30:00,2025-09-10T05:43:00,13,,0.891,59,False,2025-09-10
DL1008,DL,PHX,MCO,2025-09-10T05:45:00,2025-09-10T05:45:00,0,,0.92,78,False,2025-09-10
DL1098,DL,LAX,BOS,2025-09-10T05:45:00,2025-09-10T05:53:00,8,,0.976,76,False,2025-09-10
UA0177,UA,IAH,LGA,2025-09-10T06:00:00,2025-09-10T06:28:00,28,traffic,0.915,50,False,2025-09-10
DL0488,DL,MCO,LAS,2025-09-10T07:00:00,2025-09-10T07:42:00,42,weather,0.881,48,False,2025-09-10
UA1137,UA,MCO,IAH,2025-09-10T07:30:00,2025-09-10T08:50:00,80,security,0.88,56,False,2025-09-10
AA0041,AA,SFO,BOS,2025-09-10T08:45:00,2025-09-10T08:45:00,0,,0.776,64,False,2025-09-10
DL0358,DL,DEN,MIA,2025-09-10T10:45:00,2025-09-10T10:45:00,0,,0.959,40,False,2025-09-10
DL0688,DL,LAX,PHX,2025-09-10T11:30:00,2025-09-10T11:40:00,10,,0.635,59,False,2025-09-10
UA0192,UA,IAH,EWR,2025-09-10T11:45:00,2025-09-10T12:01:00,16,crew,0.872,35,False,2025-09-10
AA1061,AA,DEN,MSP,2025-09-10T13:00:00,2025-09-10T13:14:00,14,,0.708,71,False,2025-09-10
JB0860,JB,SFO,DEN,2025-09-10T14:15:00,2025-09-10T14:16:00,1,,0.831,46,False,2025-09-10
JB0230,JB,ORD,LGA,2025-09-10T14:30:00,2025-09-10T14:30:00,0,,0.845,61,False,2025-09-10
SW1069,SW,IAH,MSP,2025-09-10T15:30:00,2025-09-10T15:31:00,1,,0.835,73,False,2025-09-10
JB0995,JB,DEN,LAX,2025-09-10T17:30:00,2025-09-10T17:36:00,6,,0.876,66,False,2025-09-10
DL0853,DL,PHX,IAH,2025-09-10T19:00:00,2025-09-10T19:12:00,12,,0.819,62,False,2025-09-10
SW0869,SW,FLL,PHX,2025-09-10T19:30:00,2025-09-10T19:36:00,6,,0.927,53,False,2025-09-10
AA0046,AA,JFK,CLT,2025-09-10T20:30:00,2025-09-10T20:41:00,11,,0.743,92,False,2025-09-10
DL0513,DL,MSP,MCO,2025-09-10T21:00:00,2025-09-10T21:03:00,3,,0.912,74,False,2025-09-10
UA0017,UA,SEA,ATL,2025-09-10T21:45:00,2025-09-10T21:56:00,11,,0.805,44,False,2025-09-10
DL1178,DL,EWR,BOS,2025-09-11T05:30:00,2025-09-11T06:02:00,32,weather,0.84,51,False,2025-09-11
SW0894,SW,BOS,MCO,2025-09-11T06:00:00,2025-09-11T06:35:00,35,traffic,0.904,52,False,2025-09-11
UA0072,UA,MIA,JFK,2025-09-11T07:30:00,2025-09-11T07:39:00,9,,0.81,26,False,2025-09-11
AA0851,AA,DFW,LAX,2025-09-11T08:00:00,2025-09-11T08:11:00,11,,0.947,66,False,2025-09-11
AA0051,AA,LAX,IAH,2025-09-11T09:45:00,2025-09-11T09:45:00,0,,0.897,53,False,2025-09-11
JB0570,JB,SEA,MSP,2025-09-11T10:30:00,2025-09-11T11:09:00,39,traffic,0.901,52,False,2025-09-11
DL0593,DL,LAX,MIA,2025-09-11T13:15:00,2025-09-11T13:37:00,22,weather,0.836,47,False,2025-09-11
SW0049,SW,DEN,DTW,2025-09-11T14:15:00,2025-09-11T14:25:00,10,,0.889,53,False,2025-09-11
UA0297,UA,MSP,MCO,2025-09-11T19:00:00,2025-09-11T19:01:00,1,,0.88,53,False,2025-09-11
UA0377,UA,EWR,DFW,2025-09-11T20:00:00,2025-09-11T20:51:00,51,security,0.815,59,False,2025-09-11
DL0958,DL,MIA,SEA,2025-09-11T20:15:00,2025-09-11T20:18:00,3,,0.84,34,False,2025-09-11
JB0375,JB,DEN,LAS,2025-09-11T22:15:00,2025-09-11T22:50:00,35,mechanical,0.782,49,False,2025-09-11
AA0511,AA,EWR,DTW,2025-09-12T06:30:00,2025-09-12T06:43:00,13,,0.792,59,False,2025-09-12
UA1027,UA,ORD,LAS,2025-09-12T06:30:00,2025-09-12T06:32:00,2,,0.892,72,False,2025-09-12
JB0135,JB,MIA,LAS,2025-09-12T07:30:00,2025-09-12T07:51:00,21,mechanical,0.729,70,False,2025-09-12
DL0098,DL,CLT,EWR,2025-09-12T09:30:00,2025-09-12T09:41:00,11,,0.801,72,False,2025-09-12
AA0196,AA,BOS,LGA,2025-09-12T11:30:00,2025-09-12T11:43:00,13,,0.847,40,False,2025-09-12
UA1032,UA,FLL,DTW,2025-09-12T13:30:00,2025-09-12T13:41:00,11,,0.781,88,False,2025-09-12
DL0948,DL,LAS,DEN,2025-09-12T16:15:00,2025-09-12T16:21:00,6,,1.0,72,False,2025-09-12
UA0927,UA,BOS,CLT,2025-09-12T18:00:00,2025-09-12T18:17:00,17,weather,0.852,50,False,2025-09-12
JB0005,JB,ATL,MCO,2025-09-12T19:15:00,2025-09-12T19:28:00,13,,0.837,39,False,2025-09-12
UA0627,UA,MCO,ORD,2025-09-12T19:30:00,2025-09-12T19:43:00,13,,0.759,48,False,2025-09-12
JB1050,JB,IAH,DEN,2025-09-12T19:30:00,2025-09-12T19:56:00,26,crew,0.852,68,False,2025-09-12
DL1173,DL,PHX,MCO,2025-09-12T20:15:00,2025-09-12T20:27:00,12,,0.894,78,False,2025-09-12
JB0545,JB,MSP,ATL,2025-09-12T21:30:00,2025-09-12T21:38:00,8,,0.932,74,False,2025-09-12
UA0702,UA,IAH,PHX,2025-09-12T22:30:00,2025-09-12T22:40:00,10,,0.833,52,False,2025-09-12
SW1084,SW,FLL,PHX,2025-09-12T22:30:00,2025-09-12T22:31:00,1,,0.673,46,False,2025-09-12
UA0577,UA,SEA,FLL,2025-09-12T22:45:00,2025-09-12T22:59:00,14,,0.844,59,False,2025-09-12
DL1083,DL,MIA,ATL,2025-09-13T05:15:00,2025-09-13T05:26:00,11,,0.923,69,False,2025-09-13
SW0709,SW,ATL,DFW,2025-09-13T05:30:00,2025-09-13T05:39:00,9,,0.876,57,False,2025-09-13
AA1096,AA,PHX,LAX,2025-09-13T05:45:00,2025-09-13T05:51:00,6,,0.798,58,False,2025-09-13
DL1018,DL,MIA,LAS,2025-09-13T06:00:00,2025-09-13T06:04:00,4,,0.885,60,False,2025-09-13
AA0721,AA,LAS,PHX,2025-09-13T06:45:00,2025-09-13T06:57:00,12,,0.845,44,False,2025-09-13
AA1146,AA,IAH,PHX,2025-09-13T12:00:00,2025-09-13T12:08:00,8,,0.761,47,False,2025-09-13
SW0394,SW,SEA,DFW,2025-09-13T13:00:00,2025-09-13T13:07:00,7,,0.814,55,False,2025-09-13
JB0795,JB,JFK,FLL,2025-09-13T13:45:00,2025-09-13T13:53:00,8,,0.875,63,False,2025-09-13
AA0926,AA,ORD,BOS,2025-09-13T14:30:00,2025-09-13T14:43:00,13,,0.916,47,False,2025-09-13
JB0915,JB,ORD,PHX,2025-09-13T16:15:00,2025-09-13T16:27:00,12,,0.92,80,False,2025-09-13
UA0012,UA,IAH,EWR,2025-09-13T16:45:00,2025-09-13T16:54:00,9,,0.916,56,False,2025-09-13
SW0954,SW,MIA,LAX,2025-09-13T17:00:00,2025-09-13T17:07:00,7,,0.765,38,False,2025-09-13
AA0651,AA,FLL,PHX,2025-09-14T08:00:00,,0,,0.0,0,True,2025-09-14
